# cat exp/tri1/decode/scoring_kaldi/penalty_1.0/17.txt | align-text --special-symbol='***' ark:exp/tri1/decode/scoring_kaldi/test_filt.txt ark:- ark,t:- | utils/scoring/wer_per_utt_details.pl --special-symbol '***' | tee exp/tri1/decode/scoring_kaldi/wer_details/per_utt | utils/scoring/wer_per_spk_details.pl data/test/utt2spk > exp/tri1/decode/scoring_kaldi/wer_details/per_spk 
# Started at Sun Feb  6 09:58:28 HKT 2022
#
align-text '--special-symbol=***' ark:exp/tri1/decode/scoring_kaldi/test_filt.txt ark:- ark,t:- 
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0AM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD0BM_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD1AF_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
WARNING (align-text[5.5.986~1-5caf25]:main():align-text.cc:88) Key CD32F_l is in ark:exp/tri1/decode/scoring_kaldi/test_filt.txt, but not in ark:-
